Price,Year,Make,Model,Description,Url
"$132,995",1961,Chevrolet,Impala,"GORGEOUS BUBBLE TOP IMPALA, STRONG 409 V8, 4-SPEED MANUAL, FRONT DISC, NICE!!!",streetsideclassics.com/vehicles/6781-atl/1961-chevrolet-impala-bubble-top-409
"$89,995",1961,Lincoln,Continental,"HIGHLY DESIRABLE BODY STYLE, 430 V8, 3SPD AUTO, A/C, POWER STEERING/BRAKES, NICE",streetsideclassics.com/vehicles/7584-cha/1961-lincoln-continental-convertible
"$44,995",1962,Chevrolet,C10,"Description coming soon, call for details!",streetsideclassics.com/vehicles/3696-tpa/1962-chevrolet-c10-restomod
"$195,995",1962,Chevrolet,Corvette,"#'S MATCH 327CI FUELIE MOTOR, BOTH TOPS, NICELY RESTORED, 4-SPEED, 1 OF 1,918!",streetsideclassics.com/vehicles/3398-nsh/1962-chevrolet-corvette-fuelie-convertible
"$188,995",1963,Chevrolet,Corvette,"EXCEEDINGLY RARE REAL-DEAL GRAND SPORT! #18 OF 20, BUILT W/ 6.2L LS3, 5-SPD, WOW",streetsideclassics.com/vehicles/5725-dfw/1963-chevrolet-corvette-grand-sport
"$58,995",1963,Chevrolet,Impala,"WOW! 6.2L LS3 V8, TREMEC 6 SPEED, A/C, PS, PDB, AIR RIDE, RUNS & LOOKS AWESOME!",streetsideclassics.com/vehicles/5595-dfw/1963-chevrolet-impala-ss-restomod
"$57,995",1964,Ford,Fairlane,"SIDE OILER 427 V8, RUNS STRONG, 3SPD AUTO, 9"" REAR, GR8 LOOKING/SOUNDING, NICE!!",streetsideclassics.com/vehicles/7535-cha/1964-ford-fairlane-thunderbolt-tribute
"$61,995",1965,Chevrolet,C10,"SUPER SHARP RESTORED C10, 930 MILES SINCE REBUILT, 327 V8, AUTO TRANS, MUST SEE!",streetsideclassics.com/vehicles/6860-atl/1965-chevrolet-c10
"$39,995",1965,Chevrolet,Chevelle,"383 V8, 4SPD TRANS, POWER STEERING/BRAKES, RUNS/DRIVES WELL, PRETTY COLOR SCHEME",streetsideclassics.com/vehicles/7499-cha/1965-chevrolet-chevelle-malibu
"$65,995",1965,Ford,Mustang,"C CODE, 289 V8, AUTO, POWER STEERING, POWER BRAKES, COLD A/C, FRONT DISC, CLEAN!",streetsideclassics.com/vehicles/3546-tpa/1965-ford-mustang-2-2-fastback
"$44,995",1965,Ford,Mustang,"289 V8, 3-SPEED AUTO, 4-WHEEL POWR DISCS, PWR STEER, ICE-COLD A/C, AWESOME PONY!",streetsideclassics.com/vehicles/2745-phx/1965-ford-mustang-coupe
"$84,995",1966,Chevrolet,Chevelle,"Description coming soon, call for details!",streetsideclassics.com/vehicles/6897-atl/1966-chevrolet-chevelle-ss-454-tribute
"$72,995",1966,Dodge,100,"WOW! HIGHLY DETAILED BUILD! REBUILT 318 V8, AUTO, A/C FRONT & REAR! ALL PAINT!",streetsideclassics.com/vehicles/5617-dfw/1966-dodge-100-mystery-machine
"$134,995",1966,Ford,Mustang,"RESTOMOD WIDEBODY STANG, FUEL INJECTED 302 V8, AUTO TRANS, CONVERTIBLE, KILLER!!",streetsideclassics.com/vehicles/6863-atl/1966-ford-mustang-convertible-restomod-widebody
"$74,995",1966,Ford,Mustang,"CLEAN GT FASTBACK! 289 V8, 4 SPEED MAN, FACTORY COLORS, REAL GT, PONY INTERIOR",streetsideclassics.com/vehicles/5685-dfw/1966-ford-mustang-gt-fastback
"$44,995",1966,Ford,Mustang,"SUPER SLICK RED PAINT, RED/WHITE PONY INTERIOR, 289CI MOTOR, AUTO, A/C, PS & PB",streetsideclassics.com/vehicles/3320-nsh/1966-ford-mustang-gt-tribute
