Year,Make,Price
1930,Ford,"$47,995"
1931,Ford,"$59,995"
1932,Ford,"$94,995"
1932,Ford,"$49,995"
1941,Ford,"$57,995"
1949,Cadillac,"$159,995"
1949,Chevrolet,"$104,995"
1949,Chevrolet,"$67,995"
1949,Ford,"$47,995"
1951,Chevrolet,"$49,995"
1951,Mercury,"$99,995"
1953,Chevrolet,"$49,995"
1954,Lincoln,"$57,995"
1955,Chevrolet,"$104,995"
1955,Chevrolet,"$104,995"
1955,Chevrolet,"$63,995"
1955,Chevrolet,"$113,995"
1957,Chevrolet,"$149,995"
1958,Chevrolet,"$61,995"
1960,Willys,"$49,995"
1961,Chevrolet,"$132,995"
1961,Lincoln,"$89,995"
1961,Studebaker,"$57,995"
1962,Chevrolet,"$189,995"
1963,Chevrolet,"$188,995"
1963,Chevrolet,"$56,995"
1964,Avanti,"$74,995"
1964,Pontiac,"$92,995"
1965,Chevrolet,"$61,995"
1965,Chevrolet,"$49,995"
1965,Shelby,"$69,995"
1965,Shelby,"$76,995"
1965,Shelby,"$60,995"
1966,Chevrolet,"$84,995"
1966,Dodge,"$69,995"
1966,Ford,"$134,995"
1966,Ford,"$71,995"
1966,Ford,"$44,995"
1967,Chevrolet,"$94,995"
1967,Chevrolet,"$85,995"
1967,Chevrolet,"$75,995"
1967,Ford,"$44,995"
1967,Ford,"$349,995"
1967,Shelby,"$59,995"
1968,Chevrolet,"$65,995"
1968,Chevrolet,"$79,995"
1968,Chevrolet,"$64,995"
1969,Chevrolet,"$103,995"
1969,Chevrolet,"$104,995"
1969,Chevrolet,"$66,995"
1969,Ford,"$98,995"
1969,Volkswagen,"$27,995"
1970,Chevrolet,"$69,995"
1970,Chevrolet,"$74,995"
1970,Chevrolet,"$44,995"
1971,Chevrolet,"$54,995"
1972,Chevrolet,"$64,995"
1973,Ford,"$116,995"
1974,Plymouth,"$42,995"
1975,Pontiac,"$61,995"
1976,Chevrolet,"$70,995"
1978,Chevrolet,"$66,995"
1978,Chevrolet,"$66,995"
1978,Toyota,"$64,995"
1981,Ferrari,"$78,995"
1985,Chevrolet,"$34,995"
1985,Pontiac,"$22,995"
1986,Chevrolet,"$59,995"
1986,Chevrolet,"$44,995"
1987,Chevrolet,"$47,995"
1989,Pontiac,"$27,995"
1993,Chevrolet,"$36,995"
1994,Nissan,"$39,995"
1996,Dodge,"$96,995"
1999,Chevrolet,"$76,995"
2000,Chevrolet,"$24,995"
2000,Pontiac,"$44,995"
2001,Chevrolet,"$26,995"
2003,Chevrolet,"$49,995"
2006,Lotus,"$74,995"
2006,Pontiac,"$57,995"
2013,Porsche,"$95,995"
2015,Chevrolet,"$118,995"
2015,Ford,"$54,995"
2017,Jeep,"$142,995"
2018,Ford,"$74,995"
2021,Ford,"$113,995"
2022,Jeep,"$159,995"
1922,Chevrolet,"$15,995"
1923,Ford,"$21,995"
1923,Ford,"$28,995"
1923,Ford,"$26,995"
1923,Ford,"$29,995"
1923,Ford,"$23,995"
1923,Ford,"$19,995"
1923,Ford,"$27,995"
1923,Willys-Overland,"$17,995"
1924,Ford,"$20,995"
1925,Dodge Brothers,"$26,995"
1925,Ford,"$29,995"
1925,Willys-Overland,"$35,995"
1927,Ford,"$37,995"
1927,Ford,"$23,995"
1927,Ford,"$26,995"
1927,Ford,"$29,995"
1927,Ford,"$25,995"
1928,Ford,"$43,995"
1928,Ford,"$19,995"
1928,Packard,"$39,995"
1928,Pierce-Arrow,"$38,995"
1929,Chevrolet,"$16,995"
1929,Ford,"$35,995"
1929,Ford,"$29,995"
1929,Ford,"$26,995"
1929,Ford,"$44,996"
1929,Ford,"$21,995"
1929,Ford,"$31,995"
1929,Ford,"$39,995"
1929,Mercedes-Benz,"$19,995"
1930,Ford,"$49,995"
1930,Ford,"$27,995"
1930,Ford,"$54,995"
1930,Ford,"$22,995"
1931,Chevrolet,"$23,995"
1931,Ford,"$51,995"
1931,Ford,"$54,995"
1931,Ford,"$54,995"
1931,Ford,"$39,995"
1931,Ford,"$20,995"
1931,Plymouth,"$29,995"
1932,Buick,"$57,995"
1932,Chevrolet,"$36,995"
1932,Ford,"$56,995"
1932,Ford,"$46,995"
1932,Ford,"$49,995"
1932,Ford,"$85,995"
1932,Ford,"$62,995"
1932,Ford,"$44,995"
1932,Ford,"$67,995"
1932,Ford,"$39,995"
1932,Ford,"$44,995"
1932,Ford,"$34,995"
1932,Ford,"$51,995"
1933,Chevrolet,"$39,995"
1933,Ford,"$102,995"
1933,Ford,"$49,995"
1933,Ford,"$19,995"
1933,Ford,"$49,995"
1933,Ford,"$44,995"
1933,Ford,"$58,995"
1933,Ford,"$35,995"
